Region,BU_ID,Country,Month_Year,Revenue,SOLD_Status
AMER,11,United States,Apr21,265.97,1
AMER,11,United States,Apr21,13.08,1
AMER,11,United States,Apr21,92.00,1
AMER,11,United States,Apr21,77646.33,1
AMER,11,United States,Apr21,478.85,1
AMER,11,United States,Apr21,6948.02,1
AMER,11,United States,Apr21,167929.53,1
AMER,11,United States,Apr21,5017.75,1
AMER,11,United States,Apr21,356.36,1
AMER,11,United States,Apr21,6730785.46,1
AMER,11,United States,Apr21,19713.60,1
AMER,11,United States,Apr21,4158.21,1
AMER,11,United States,Apr21,29833.49,1
AMER,11,United States,Apr21,343.94,1
AMER,11,United States,Apr21,49.98,1
AMER,11,United States,Apr21,38901.24,1
AMER,11,United States,Apr21,11477.76,1
AMER,11,United States,Apr21,181.86,1
AMER,11,United States,Apr21,142.89,1
AMER,11,United States,Apr21,79.96,1
AMER,11,United States,Apr21,13051.98,1
AMER,11,United States,Apr21,5916.64,1
AMER,11,United States,Apr21,242.83,1
AMER,11,United States,Apr21,384.99,1
AMER,11,United States,Apr21,208.44,1
AMER,11,United States,Apr21,2625.16,1
AMER,11,United States,Apr21,3326.09,1
AMER,11,United States,Apr21,112.42,1
AMER,11,United States,Apr21,640.59,1
AMER,11,United States,Apr21,29.99,1
AMER,11,United States,Apr21,2604.44,1
AMER,11,United States,Apr21,962.58,1
AMER,11,United States,Apr21,1317.51,1
AMER,11,United States,Apr21,8816.75,1
AMER,11,United States,Apr21,12782.59,1
AMER,11,United States,Apr21,68389.75,1
AMER,11,United States,Apr21,80028.03,1
AMER,11,United States,Apr21,19.99,1
AMER,11,United States,Apr21,42387.71,1
AMER,11,United States,Apr21,266.40,1
AMER,11,United States,Apr21,706.08,1
AMER,11,United States,Apr21,3080.22,1
AMER,11,United States,Apr21,43.19,1
AMER,11,United States,Apr21,2458.89,1
AMER,11,United States,Apr21,10604.33,1
AMER,11,United States,Apr21,28.79,1
AMER,11,United States,Apr21,199691.61,1
AMER,11,United States,Apr21,4278.28,1
AMER,11,United States,Apr21,83.96,1
AMER,11,United States,Apr21,1042.15,1
AMER,11,United States,Apr21,658.79,1
AMER,11,United States,Apr21,30.99,1
AMER,11,United States,Apr21,99.95,1
AMER,11,United States,Apr21,38.97,1
AMER,11,United States,Apr21,4969.74,1
AMER,11,United States,Apr21,20.94,1
AMER,11,United States,Apr21,736.94,1
AMER,11,United States,Apr21,6337.35,1
AMER,11,United States,Apr21,10063.15,1
AMER,11,United States,Apr21,4906.15,1
AMER,11,United States,Apr21,7253.77,1
AMER,11,United States,Apr21,245.00,1
AMER,11,United States,Apr21,267563.69,1
AMER,11,United States,Apr21,154594.47,1
AMER,11,United States,Apr21,219584.66,1
AMER,11,United States,Apr21,374037.07,1
AMER,11,United States,Apr21,41424.37,1
AMER,11,United States,Apr21,35579.56,1
AMER,11,United States,Apr21,112682.11,1
AMER,11,United States,Apr21,1285727.84,1
AMER,11,United States,Apr21,3004875.20,1
AMER,11,United States,Apr21,980194.56,1
AMER,11,United States,Apr21,1176.88,1
AMER,11,United States,Apr21,11420.00,1
AMER,11,United States,Apr21,16516.72,1
AMER,11,United States,Apr21,1547.67,1
AMER,11,United States,Apr21,899.99,1
AMER,11,United States,Apr21,1431.49,1
AMER,11,United States,Apr21,1523.84,1
AMER,11,United States,Apr21,877.78,1
AMER,11,United States,Apr21,3462.05,1
AMER,11,United States,Apr21,7303.84,1
AMER,11,United States,Apr21,558203.00,1
AMER,11,United States,Apr21,81.14,1
AMER,11,United States,Apr21,77.81,1
AMER,11,United States,Apr21,8865.00,1
AMER,11,United States,Apr21,147600.00,1
AMER,11,United States,Apr21,19063.89,1
AMER,11,United States,Apr21,54432.38,1
AMER,11,United States,Apr21,25670.80,1
AMER,11,United States,Apr21,13139.00,1
AMER,11,United States,Apr21,719040.53,1
AMER,11,United States,Apr21,176271.66,1
AMER,11,United States,Apr21,2585.00,1
AMER,11,United States,Apr21,957.14,1
AMER,11,United States,Apr21,926080.99,1
AMER,11,United States,Apr21,18404.84,1
AMER,11,United States,Apr21,496.32,1
AMER,11,United States,Apr21,20054.00,1
AMER,11,United States,Apr21,127624.17,1
AMER,11,United States,Apr21,9407.85,1
AMER,11,United States,Apr21,3888.01,1
AMER,11,United States,Apr21,687.99,1
AMER,11,United States,Apr21,156073.22,1
AMER,11,United States,Apr21,3745.93,1
AMER,11,United States,Apr21,105938.18,1
AMER,11,United States,Apr21,32817.33,1
AMER,11,United States,Apr21,4402.12,1
AMER,11,United States,Apr21,67.24,1
AMER,11,United States,Apr21,630.72,1
AMER,11,United States,Apr21,1536.85,1
AMER,11,United States,Apr21,142316.50,1
AMER,11,United States,Apr21,62198.22,1
AMER,11,United States,Apr21,113672.12,1
AMER,11,United States,Apr21,74667.71,1
AMER,11,United States,Apr21,30209.48,1
AMER,11,United States,Apr21,28980.77,1
AMER,11,United States,Apr21,9360.66,1
AMER,11,United States,Apr21,13862.00,1
AMER,11,United States,Apr21,2944.36,1
AMER,11,United States,Apr21,24561.01,1
AMER,11,United States,Apr21,5255.69,1
AMER,11,United States,Apr21,26459.22,1
AMER,11,United States,Apr21,15749.93,1
AMER,11,United States,Apr21,20162.10,1
AMER,11,United States,Apr21,722.33,1
AMER,11,United States,Apr21,169483.24,1
AMER,11,United States,Apr21,480.34,1
AMER,11,United States,Apr21,22054.33,1
AMER,11,United States,Apr21,170.42,1
AMER,11,United States,Apr21,107.99,1
AMER,11,United States,Apr21,50194.23,1
AMER,11,United States,Apr21,17364.78,1
AMER,11,United States,Apr21,215323.43,1
AMER,11,United States,Apr21,4365.74,1
AMER,11,United States,Apr21,7670.27,1
AMER,11,United States,Apr21,43.17,1
AMER,11,United States,Apr21,46.77,1
AMER,11,United States,Apr21,39874.45,1
AMER,11,United States,Apr21,31170.52,1
AMER,11,United States,Apr21,7238.13,1
AMER,11,United States,Apr21,3811.56,1
AMER,11,United States,Apr21,7805039.54,1
AMER,11,United States,Apr21,58850.37,1
AMER,11,United States,Apr21,1180.37,1
AMER,11,United States,Apr21,19181.55,1
AMER,11,United States,Apr21,71.64,1
AMER,11,United States,Apr21,9225.10,1
AMER,11,United States,Apr21,4747.54,1
AMER,11,United States,Apr21,615390.66,1
AMER,11,United States,Apr21,2002.42,1
AMER,11,United States,Apr21,76.19,1
AMER,11,United States,Apr21,161.94,1
AMER,11,United States,Apr21,7243.71,1
AMER,11,United States,Apr21,12.99,1
AMER,11,United States,Apr21,357.80,1
AMER,11,United States,Apr21,445471.73,1
AMER,11,United States,Apr21,412560.25,1
AMER,11,United States,Apr21,55505.17,1
AMER,11,United States,Apr21,144581.47,1
AMER,11,United States,Apr21,1173.69,1
AMER,11,United States,Apr21,323.20,1
AMER,11,United States,Apr21,21125.86,1
AMER,11,United States,Apr21,37.24,1
AMER,11,United States,Apr21,12472.44,1
AMER,11,United States,Apr21,900469.95,1
AMER,11,United States,Apr21,859471.13,1
AMER,11,United States,Apr21,404326.67,1
AMER,11,United States,Apr21,398254.83,1
AMER,11,United States,Apr21,116.83,1
AMER,11,United States,Apr21,3462371.15,1
AMER,11,United States,Apr21,66337.74,1
AMER,11,United States,Apr21,24955.77,1
AMER,11,United States,Apr21,10.99,1
AMER,11,United States,Apr21,54.65,1
AMER,11,United States,Apr21,61712.82,1
AMER,11,United States,Apr21,33419.51,1
AMER,11,United States,Apr21,57908.06,1
AMER,11,United States,Apr21,808221.33,1
AMER,11,United States,Apr21,40301.53,1
AMER,11,United States,Apr21,30003.39,1
AMER,11,United States,Apr21,54373.35,1
AMER,11,United States,Apr21,91273.85,1
AMER,11,United States,Apr21,385287.39,1
AMER,11,United States,Apr21,178171.79,1
AMER,11,United States,Apr21,370232.19,1
AMER,11,United States,Apr21,48937.66,1
AMER,11,United States,Apr21,64244.50,1
AMER,11,United States,Apr21,20799.24,1
AMER,11,United States,Apr21,499251.27,1
AMER,11,United States,Apr21,98959.66,1
AMER,11,United States,Apr21,155574.68,1
AMER,11,United States,Apr21,13516.75,1
AMER,11,United States,Apr21,24575.04,1
AMER,11,United States,Apr21,2719529.63,1
AMER,11,United States,Apr21,285254.23,1
AMER,11,United States,Apr21,193230.90,1
AMER,11,United States,Apr21,503370.76,1
AMER,11,United States,Apr21,2029.42,1
AMER,11,United States,Apr21,231722.29,1
AMER,11,United States,Apr21,1146884.74,1
AMER,11,United States,Apr21,269832.89,1
AMER,11,United States,Apr21,289815.08,1
AMER,11,United States,Apr21,2744546.93,1
AMER,11,United States,Apr21,247487.16,1
AMER,11,United States,Apr21,49022.58,1
AMER,11,United States,Apr21,17107.04,1
AMER,11,United States,Apr21,566.38,1
AMER,11,United States,Apr21,374410.98,1
AMER,11,United States,Apr21,1406.48,1
AMER,11,United States,Apr21,183.98,1
AMER,11,United States,Apr21,133.28,1
AMER,11,United States,Apr21,1778.18,1
AMER,11,United States,Apr21,111809.24,1
AMER,11,United States,Apr21,287556.42,1
AMER,11,United States,Apr21,19248.78,1
AMER,11,United States,Apr21,120591.06,1
AMER,11,United States,Apr21,81.39,1
AMER,11,United States,Apr21,161457.81,1
AMER,11,United States,Apr21,44428.80,1
AMER,11,United States,Apr21,1353.47,1
AMER,11,United States,Apr21,655.14,1
AMER,11,United States,Apr21,27665.62,1
AMER,11,United States,Apr21,899.88,1
AMER,11,United States,Apr21,1062.10,1
AMER,11,United States,Apr21,31289.26,1
AMER,11,United States,Apr21,1665.09,1
AMER,11,United States,Apr21,4041.34,1
AMER,11,United States,Apr21,48.40,1
AMER,11,United States,Apr21,13800.00,1
AMER,11,United States,Apr21,1698.73,1
AMER,11,United States,Apr21,5241.13,1
AMER,11,United States,Apr21,972.12,1
AMER,11,United States,Apr21,29.95,1
AMER,11,United States,Apr21,1900.65,1
AMER,11,United States,Apr21,10220.32,1
AMER,11,United States,Apr21,3039.17,1
AMER,11,United States,Apr21,31369.88,1
AMER,11,United States,Apr21,6868.09,1
AMER,11,United States,Apr21,4411.05,1
AMER,11,United States,Apr21,144.60,1
AMER,11,United States,Apr21,642.55,1
AMER,11,United States,Apr21,15786.71,1
AMER,11,United States,Apr21,85.36,1
AMER,11,United States,Apr21,7232.56,1
AMER,11,United States,Apr21,22491.92,1
AMER,11,United States,Apr21,5179.83,1
AMER,11,United States,Apr21,33277.00,1
AMER,11,United States,Apr21,170527.39,1
AMER,11,United States,Apr21,1121.24,1
AMER,11,United States,Apr21,107038.90,1
AMER,11,United States,Apr21,153605.77,1
AMER,11,United States,Apr21,668480.31,1
AMER,11,United States,Apr21,647.95,1
AMER,11,United States,Apr21,278713.04,1
